Crop,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Soil_Moisture,Soil_CEC,Avg_Temperature,Min_Temperature,Avg_Humidity,Min_Humidity,Avg_Wind_Speed,Total_Rainfall,Min_Elevation,Max_Elevation
Hyacinth Bean (Lablab purpureus - another variety),6.0,100.0,80.0,120.0,300.0,150.0,27.0,22.0,70.0,50.0,3.0,1000.0,0.0,1200.0
Hyssop,6.1,85.0,65.0,115.0,280.0,110.0,25.0,19.0,70.0,50.0,2.5,780.0,0.0,2000.0
Ice Cream Bean,6.1,180.0,150.0,210.0,430.0,250.0,27.5,22.5,83.0,63.0,3.6,2600.0,0.0,1000.0
Ice Cream Bean (Inga edulis - another variety),6.0,150.0,120.0,170.0,400.0,200.0,27.0,22.0,80.0,60.0,3.5,2000.0,0.0,1000.0
Imbe,6.4,130.0,100.0,150.0,370.0,180.0,26.0,20.0,70.0,50.0,2.8,1600.0,0.0,800.0
Indian Gooseberry (Phyllanthus emblica - another variety),6.4,130.0,100.0,150.0,350.0,170.0,29.0,24.0,68.0,48.0,3.2,900.0,0.0,1300.0
Indian Jujube (Ziziphus mauritiana),6.0,120.0,90.0,140.0,300.0,160.0,28.0,23.0,70.0,50.0,2.8,900.0,0.0,1000.0
Indian Mustard,6.0,150.0,120.0,180.0,380.0,190.0,24.0,18.0,70.0,50.0,2.5,1000.0,0.0,1000.0
Indian Mustard (Brassica juncea - another variety),6.2,135.0,115.0,155.0,320.0,160.0,22.0,16.0,65.0,45.0,2.5,750.0,0.0,1000.0
Inocarpus fagifer (Tahitian Chestnut),6.4,170.0,140.0,180.0,480.0,240.0,27.0,22.0,80.0,60.0,3.2,2000.0,0.0,200.0
Italian Millet,6.3,105.0,85.0,125.0,275.0,125.0,29.5,23.5,76.0,56.0,3.1,820.0,0.0,2000.0
Ivy Gourd,6.2,90.0,70.0,110.0,320.0,160.0,28.0,23.0,72.0,52.0,2.5,1000.0,0.0,500.0
Ivy Gourd (Coccinia grandis - another variety),6.1,140.0,110.0,150.0,400.0,190.0,26.0,20.0,72.0,52.0,2.8,1100.0,0.0,500.0
Ixora,6.0,100.0,80.0,120.0,300.0,120.0,28.0,22.0,75.0,55.0,2.5,1500.0,0.0,1000.0
Jaboticaba,5.8,190.0,160.0,220.0,410.0,230.0,26.5,21.5,81.0,61.0,3.4,2400.0,0.0,1000.0
Jack Bean,6.1,100.0,80.0,120.0,350.0,180.0,28.0,23.0,75.0,55.0,2.7,1200.0,0.0,1000.0
Jackfruit,6.0,290.0,240.0,260.0,380.0,260.0,30.0,20.0,80.0,48.0,10.0,990.0,0.0,1200.0
Jamun,6.2,150.0,130.0,180.0,350.0,190.0,29.0,24.0,68.0,48.0,3.0,900.0,0.0,1200.0
Japanese Millet,6.3,70.0,50.0,80.0,220.0,80.0,26.0,20.0,65.0,45.0,2.5,600.0,0.0,2700.0
Jasmine (Jasminum sambac),6.3,80.0,60.0,90.0,280.0,110.0,26.0,20.0,70.0,50.0,2.5,1000.0,0.0,1300.0
Jenipapo,6.2,120.0,90.0,140.0,350.0,170.0,29.0,23.0,75.0,55.0,3.0,1800.0,0.0,500.0
Jerusalem Artichoke,6.2,90.0,70.0,100.0,260.0,100.0,22.0,15.0,66.0,46.0,2.2,720.0,0.0,1000.0
Job's Tears,6.5,100.0,80.0,120.0,350.0,180.0,27.0,22.0,70.0,50.0,3.0,1200.0,0.0,2400.0
Jowar,6.0,150.0,100.0,120.0,300.0,120.0,27.0,22.0,70.0,50.0,3.0,800.0,0.0,2400.0
Jute,6.0,280.0,230.0,240.0,400.0,250.0,30.0,20.0,78.0,48.0,12.0,1500.0,0.0,1000.0
Jute (Corchorus capsularis - another variety),6.4,165.0,135.0,185.0,400.0,200.0,27.0,22.0,80.0,60.0,3.0,1500.0,0.0,1000.0
Jute Mallow,6.1,170.0,150.0,200.0,400.0,220.0,28.0,23.0,75.0,55.0,3.0,1500.0,0.0,500.0
Kabocha Squash,6.2,120.0,90.0,140.0,330.0,170.0,26.0,21.0,70.0,50.0,2.8,1000.0,0.0,1000.0
Kaempferia galanga (Kencur/Sand Ginger),6.2,90.0,70.0,100.0,300.0,120.0,25.0,19.0,70.0,50.0,2.0,1400.0,0.0,1000.0
Kangkong,6.1,130.0,110.0,150.0,400.0,170.0,29.0,23.0,76.0,56.0,3.5,1300.0,0.0,500.0
Kangni,6.4,100.0,80.0,120.0,280.0,120.0,30.0,24.0,75.0,55.0,3.2,850.0,0.0,2000.0
Kangni (Setaria italica - another variety),6.2,90.0,70.0,110.0,270.0,110.0,29.0,23.0,72.0,52.0,3.2,900.0,0.0,2000.0
Kanthal,6.5,170.0,150.0,210.0,400.0,220.0,27.0,22.0,80.0,60.0,3.5,1500.0,0.0,200.0
Karela (Bitter Gourd - another variety),6.3,140.0,110.0,170.0,400.0,200.0,27.0,22.0,75.0,55.0,2.8,1200.0,0.0,500.0
Kava,6.1,200.0,170.0,220.0,430.0,250.0,27.5,22.5,83.0,63.0,3.6,2600.0,0.0,600.0
Kenaf,6.2,260.0,210.0,230.0,340.0,240.0,26.5,16.5,80.0,50.0,11.8,920.0,0.0,1500.0
Kenaf (Hibiscus cannabinus - another variety),6.1,155.0,125.0,175.0,380.0,190.0,28.0,23.0,75.0,55.0,3.3,1300.0,0.0,1500.0
Kepel Apple,6.3,150.0,120.0,170.0,410.0,200.0,28.0,22.0,74.0,54.0,3.2,1800.0,0.0,500.0
Kersting's Groundnut,6.1,170.0,150.0,180.0,430.0,180.0,29.0,23.0,78.0,58.0,3.4,1200.0,0.0,500.0
Kidney Bean,6.0,120.0,150.0,180.0,320.0,150.0,24.0,18.0,70.0,50.0,3.0,1000.0,0.0,2000.0
Kodo,6.5,80.0,60.0,100.0,250.0,100.0,28.0,22.0,70.0,50.0,3.0,800.0,0.0,1800.0
Kodo Millet,6.5,80.0,60.0,100.0,250.0,100.0,28.0,22.0,70.0,50.0,3.0,800.0,0.0,1800.0
Kodo Millet (Paspalum scrobiculatum - another variety),6.4,70.0,50.0,90.0,230.0,90.0,29.0,24.0,75.0,55.0,3.3,700.0,0.0,1800.0
Kohlrabi,6.4,130.0,90.0,110.0,290.0,110.0,17.0,11.0,61.0,41.0,1.7,680.0,0.0,1500.0
Kokum,6.3,160.0,140.0,190.0,400.0,220.0,27.0,22.0,80.0,60.0,3.3,1400.0,0.0,500.0
Kundru,6.1,100.0,80.0,120.0,350.0,180.0,27.5,22.5,71.0,51.0,2.7,1050.0,0.0,500.0
Kutki,6.1,85.0,65.0,105.0,255.0,105.0,27.5,21.5,73.0,53.0,2.9,720.0,0.0,1600.0
Lablab purpureus (Hyacinth Bean - another variety),6.5,140.0,120.0,150.0,360.0,150.0,29.0,23.0,85.0,65.0,3.4,1000.0,0.0,1200.0
Lagos Bologi,6.0,150.0,130.0,160.0,380.0,160.0,26.0,20.0,75.0,55.0,3.0,1200.0,0.0,100.0
Lagos Spinach,6.4,160.0,140.0,190.0,430.0,240.0,27.0,22.0,82.0,62.0,3.5,2200.0,0.0,1000.0
Langsat,6.2,160.0,130.0,190.0,420.0,230.0,28.0,23.0,84.0,64.0,3.8,2700.0,0.0,500.0
Langsat (Lansium domesticum - another variety),6.4,170.0,140.0,190.0,440.0,240.0,29.0,24.0,78.0,58.0,3.1,2000.0,0.0,500.0
Lavender,6.0,250.0,200.0,220.0,330.0,230.0,23.0,13.0,68.0,38.0,10.2,840.0,0.0,1500.0
Leek,6.1,110.0,80.0,100.0,280.0,100.0,19.0,13.0,62.0,42.0,1.8,670.0,0.0,1500.0
Lemon Balm,6.0,90.0,70.0,120.0,300.0,130.0,22.0,16.0,65.0,45.0,2.0,700.0,0.0,1500.0
Lemon Grass,6.3,170.0,140.0,200.0,410.0,230.0,27.0,22.0,82.0,62.0,3.5,2500.0,0.0,1000.0
Lemon Verbena,6.4,70.0,50.0,80.0,250.0,90.0,24.0,18.0,60.0,40.0,2.0,700.0,0.0,1500.0
Lentil,6.2,240.0,195.0,215.0,330.0,235.0,24.5,14.5,75.0,45.0,10.0,850.0,0.0,2000.0
Lentil (Lens culinaris - another variety),6.1,85.0,65.0,95.0,260.0,110.0,20.0,14.0,60.0,40.0,2.0,700.0,0.0,2000.0
Lettuce,6.5,120.0,150.0,180.0,280.0,100.0,15.0,10.0,60.0,40.0,2.0,500.0,0.0,2500.0
Lima Bean,6.0,265.0,215.0,235.0,345.0,245.0,26.0,16.0,72.0,43.0,11.8,890.0,0.0,700.0
Linseed,6.5,100.0,50.0,80.0,250.0,80.0,18.0,12.0,55.0,35.0,1.5,400.0,0.0,1200.0
Little Millet,6.2,95.0,75.0,115.0,265.0,115.0,28.5,22.5,74.0,54.0,3.0,780.0,0.0,1600.0
Little Millet (Panicum sumatrense - another variety),6.2,80.0,60.0,90.0,260.0,100.0,29.0,23.0,72.0,52.0,2.7,800.0,0.0,1600.0
Lobia (Cowpea - another variety),6.1,100.0,80.0,120.0,300.0,140.0,26.0,20.0,72.0,52.0,3.0,900.0,0.0,1000.0
Long Pepper,6.3,150.0,130.0,180.0,400.0,220.0,27.0,22.0,80.0,60.0,3.3,1400.0,0.0,1000.0
Longan,6.2,285.0,235.0,255.0,375.0,255.0,28.0,18.0,81.0,50.0,10.0,1020.0,0.0,600.0
Loquat,6.0,275.0,225.0,245.0,365.0,245.0,27.5,17.5,79.0,49.0,9.8,970.0,0.0,1000.0
Lotus (Nelumbo nucifera),6.3,110.0,80.0,130.0,450.0,200.0,27.0,21.0,75.0,55.0,2.5,1500.0,0.0,500.0
Lovage,6.4,95.0,75.0,125.0,290.0,120.0,21.0,15.0,64.0,44.0,1.9,710.0,0.0,1500.0
Luffa Gourd,6.5,130.0,110.0,160.0,420.0,230.0,27.0,22.0,82.0,62.0,3.0,1500.0,0.0,500.0
Lychee,6.0,290.0,240.0,260.0,400.0,250.0,27.5,17.5,74.0,44.0,10.8,1000.0,0.0,700.0
Macadamia,6.4,280.0,230.0,250.0,360.0,260.0,29.0,19.0,73.0,44.0,11.2,960.0,0.0,700.0
Macadamia Nut,6.3,315.0,265.0,285.0,410.0,295.0,30.0,20.0,80.0,50.0,12.8,1150.0,0.0,700.0
Magnolia champaca (Champak),6.5,90.0,70.0,100.0,300.0,120.0,27.0,22.0,75.0,55.0,2.8,1200.0,0.0,1200.0
Maize,6.5,280.0,220.0,230.0,400.0,250.0,28.0,18.0,75.0,45.0,12.0,1500.0,0.0,3000.0
Malabar Spinach,6.0,130.0,110.0,160.0,420.0,230.0,26.5,21.5,79.0,59.0,3.3,1300.0,0.0,1000.0
Malanga,6.1,140.0,120.0,170.0,400.0,220.0,26.0,21.0,78.0,58.0,3.2,1300.0,0.0,500.0
Mammee Apple,6.1,150.0,120.0,180.0,380.0,160.0,25.0,19.0,72.0,52.0,2.7,1800.0,0.0,800.0
Mango,6.8,260.0,210.0,230.0,360.0,245.0,30.0,20.0,75.0,45.0,10.8,1300.0,0.0,600.0
Mango (Mangifera indica - another variety),6.1,150.0,120.0,170.0,380.0,190.0,30.0,25.0,72.0,52.0,3.5,1100.0,0.0,600.0
Mangosteen,6.3,295.0,245.0,265.0,390.0,270.0,29.5,19.5,85.0,53.0,9.5,1080.0,0.0,700.0
Mangosteen (Garcinia mangostana - adaptability considerations),6.0,165.0,135.0,185.0,400.0,210.0,27.0,22.0,80.0,60.0,3.5,2200.0,0.0,700.0
Mangrove Apple,6.4,285.0,235.0,255.0,365.0,265.0,26.5,16.5,75.0,45.0,10.8,920.0,0.0,0.0
Marama Bean,6.5,120.0,100.0,130.0,380.0,160.0,28.0,22.0,80.0,60.0,3.3,1200.0,0.0,500.0
Marjoram,6.0,110.0,90.0,120.0,330.0,130.0,28.0,22.0,80.0,60.0,2.8,1100.0,0.0,1500.0
Masoor,6.0,80.0,100.0,120.0,280.0,100.0,22.0,16.0,60.0,40.0,2.0,600.0,0.0,2000.0
Medinilla,5.5,100.0,80.0,120.0,350.0,150.0,25.0,18.0,80.0,60.0,2.5,2200.0,500.0,1500.0
Mesta,6.5,150.0,100.0,120.0,400.0,200.0,27.0,22.0,80.0,60.0,3.5,1500.0,0.0,1500.0
Millet,6.4,235.0,175.0,205.0,330.0,220.0,30.5,20.5,62.0,32.0,14.5,700.0,0.0,2000.0
Mint,6.0,80.0,60.0,100.0,280.0,100.0,22.0,16.0,65.0,45.0,2.0,700.0,0.0,2000.0
Mizuna,6.0,160.0,140.0,180.0,460.0,200.0,28.0,22.0,82.0,62.0,3.4,1600.0,0.0,1000.0
Monkey Jackfruit,6.3,160.0,130.0,190.0,410.0,170.0,26.0,20.0,74.0,54.0,2.9,1900.0,0.0,1200.0
Moong,6.5,100.0,120.0,150.0,300.0,120.0,27.0,22.0,70.0,50.0,3.0,1200.0,0.0,1200.0
Moringa,6.2,160.0,130.0,180.0,400.0,190.0,28.0,23.0,75.0,55.0,3.0,1100.0,0.0,1000.0
Moth Bean,6.0,100.0,120.0,150.0,300.0,120.0,27.0,22.0,70.0,50.0,3.0,1200.0,0.0,1000.0
Moth Bean (Vigna aconitifolia - another variety),6.1,120.0,100.0,130.0,320.0,130.0,27.0,21.0,75.0,55.0,3.0,800.0,0.0,1000.0
Mulberry,6.5,265.0,215.0,235.0,345.0,245.0,24.0,14.0,70.0,40.0,10.8,910.0,0.0,1500.0
Mung Bean,6.0,250.0,200.0,220.0,330.0,230.0,26.5,16.5,75.0,45.0,11.0,870.0,0.0,1200.0
Murasaki Sweet Potato,6.3,80.0,60.0,100.0,300.0,120.0,24.0,18.0,65.0,45.0,2.5,800.0,0.0,500.0
Mushroom,5.8,230.0,180.0,200.0,330.0,200.0,20.0,10.0,85.0,55.0,9.0,1400.0,0.0,4500.0
Muskmelon,6.2,270.0,220.0,240.0,350.0,250.0,28.5,18.5,72.0,42.0,10.8,940.0,0.0,1000.0
Mussaenda,6.2,120.0,90.0,140.0,350.0,150.0,27.0,21.0,80.0,60.0,2.8,1800.0,0.0,800.0
Mustard,6.4,260.0,210.0,225.0,320.0,230.0,28.0,18.0,70.0,40.0,12.0,950.0,0.0,1000.0
Navy Bean,6.5,100.0,120.0,150.0,300.0,120.0,24.0,18.0,65.0,45.0,2.5,800.0,0.0,500.0
Nectarine,6.6,280.0,230.0,250.0,360.0,260.0,27.5,17.5,74.0,44.0,10.5,950.0,0.0,500.0
Niger Seed,6.0,120.0,80.0,100.0,280.0,100.0,27.0,22.0,70.0,50.0,3.0,800.0,0.0,1000.0
Noni,6.1,140.0,110.0,160.0,390.0,190.0,27.0,21.0,72.0,52.0,3.0,1700.0,0.0,500.0
Nutmeg,6.1,270.0,220.0,240.0,370.0,230.0,25.0,15.0,75.0,45.0,10.0,1200.0,0.0,1300.0
Oats,6.3,250.0,190.0,215.0,340.0,235.0,20.0,10.0,85.0,55.0,9.0,1100.0,0.0,3000.0
Oca,6.0,100.0,80.0,120.0,300.0,120.0,18.0,12.0,60.0,40.0,2.0,600.0,2000.0,4000.0
Oca (Oxalis tuberosa),6.1,120.0,90.0,130.0,350.0,180.0,18.0,12.0,65.0,45.0,2.0,800.0,2000.0,4000.0
Oil Palm,5.5,280.0,220.0,280.0,420.0,260.0,28.0,22.0,80.0,60.0,4.5,2500.0,0.0,500.0
Okinawan Sweet Potato,6.5,90.0,70.0,110.0,320.0,130.0,25.0,19.0,68.0,48.0,2.7,900.0,0.0,500.0
Okra,6.4,275.0,225.0,245.0,355.0,255.0,28.5,18.5,79.0,49.0,11.2,960.0,0.0,300.0
Olive,6.7,275.0,225.0,245.0,355.0,255.0,27.5,17.5,68.0,38.0,12.5,980.0,0.0,1000.0
Onion,6.5,150.0,180.0,200.0,320.0,150.0,22.0,16.0,60.0,40.0,2.0,600.0,0.0,2000.0
Opo Squash,6.3,120.0,90.0,140.0,350.0,180.0,27.0,22.0,78.0,58.0,2.5,1900.0,0.0,1000.0
Orange,6.4,250.0,200.0,225.0,340.0,235.0,22.5,12.5,70.0,40.0,11.0,1100.0,0.0,1000.0
Oregano,6.5,70.0,50.0,90.0,250.0,90.0,24.0,17.0,68.0,48.0,2.3,750.0,0.0,1500.0
Papaya,6.2,320.0,270.0,280.0,490.0,290.0,30.5,20.5,75.0,45.0,9.0,1800.0,0.0,1000.0
Parsnip,6.6,105.0,75.0,105.0,275.0,105.0,19.0,13.0,64.0,44.0,2.0,710.0,0.0,1500.0
Parwal (Pointed Gourd - another variety),6.2,130.0,100.0,160.0,360.0,180.0,26.0,21.0,72.0,52.0,2.5,1100.0,0.0,500.0
Paspalum scrobiculatum (Kodo Millet - another variety),6.2,100.0,80.0,110.0,280.0,110.0,29.0,23.0,80.0,60.0,3.1,900.0,0.0,1800.0
Passion Fruit,6.0,300.0,250.0,270.0,380.0,280.0,29.5,19.5,84.0,54.0,12.0,990.0,0.0,1000.0
Patchouli,5.8,160.0,130.0,190.0,410.0,230.0,26.5,21.5,81.0,61.0,3.4,2400.0,0.0,500.0
Pea (Pisum sativum - another variety - adaptable),6.5,105.0,85.0,125.0,290.0,135.0,20.0,14.0,60.0,40.0,2.0,,0.0,2000.0
Peach,6.2,275.0,225.0,245.0,355.0,255.0,26.0,16.0,72.0,42.0,11.0,910.0,0.0,1000.0
Peanut,6.2,265.0,215.0,235.0,345.0,245.0,27.0,17.0,82.0,52.0,11.2,890.0,0.0,1000.0
Pear,6.1,260.0,210.0,230.0,340.0,240.0,24.5,14.5,78.0,48.0,10.5,900.0,300.0,2000.0
Pearl Millet,6.4,100.0,80.0,120.0,280.0,120.0,30.0,24.0,75.0,55.0,3.2,850.0,0.0,2700.0
Pearl Millet (Pennisetum glaucum - another variety),6.5,95.0,75.0,115.0,270.0,110.0,30.0,24.0,70.0,50.0,3.0,750.0,0.0,2700.0
Peas,6.0,250.0,200.0,220.0,350.0,240.0,22.5,12.5,80.0,50.0,9.5,1000.0,0.0,2000.0
Pecan,6.6,290.0,240.0,260.0,370.0,270.0,26.0,16.0,74.0,44.0,10.8,980.0,0.0,500.0
Pepper,6.0,250.0,200.0,250.0,400.0,250.0,27.0,22.0,80.0,65.0,3.5,2000.0,0.0,800.0
Persicaria odorata (Vietnamese Coriander),6.1,110.0,90.0,120.0,360.0,140.0,27.0,21.0,80.0,60.0,2.5,1800.0,0.0,1000.0
Persimmon,6.4,260.0,210.0,230.0,340.0,240.0,26.0,16.0,77.0,46.0,10.5,950.0,0.0,500.0
Phalsa (Grewia asiatica),6.1,100.0,80.0,110.0,280.0,130.0,30.0,25.0,65.0,45.0,3.2,800.0,0.0,800.0
Pigeon Pea,6.2,265.0,215.0,235.0,345.0,245.0,27.0,17.0,67.0,39.0,12.0,910.0,0.0,1500.0
Pigeonpea,6.5,120.0,150.0,180.0,320.0,150.0,27.0,22.0,70.0,50.0,3.0,1000.0,0.0,1500.0
Pili Nut (Canarium ovatum - another variety),6.5,190.0,160.0,210.0,420.0,200.0,28.0,23.0,80.0,60.0,3.3,2200.0,0.0,1500.0
Pineapple,5.8,310.0,260.0,270.0,470.0,280.0,29.0,19.0,80.0,50.0,8.8,1600.0,0.0,1300.0
Piper sarmentosum (Wild Betel),6.4,100.0,80.0,110.0,330.0,130.0,26.0,20.0,75.0,55.0,2.3,1600.0,0.0,500.0
Pistachio,6.2,280.0,230.0,250.0,380.0,240.0,26.5,16.5,68.0,38.0,11.2,1100.0,450.0,1800.0
Plantain,6.3,310.0,260.0,280.0,420.0,290.0,30.0,20.0,82.0,50.0,10.5,1050.0,0.0,2000.0
Plum,6.3,280.0,230.0,250.0,360.0,260.0,27.0,17.0,70.0,40.0,10.8,920.0,200.0,2000.0
Plumeria (Frangipani),6.4,85.0,75.0,95.0,270.0,100.0,29.0,24.0,75.0,55.0,3.0,1000.0,0.0,500.0
Pointed Gourd,6.4,110.0,90.0,140.0,380.0,200.0,29.0,24.0,75.0,55.0,3.0,1100.0,0.0,500.0
Pointed Gourd (Trichosanthes dioica - another variety),6.2,120.0,90.0,130.0,350.0,170.0,28.0,22.0,75.0,55.0,3.0,1200.0,0.0,500.0
Polygonum minus (Kesum),6.3,120.0,100.0,130.0,390.0,150.0,28.0,22.0,85.0,65.0,2.7,2000.0,0.0,1000.0
Pomegranate,6.4,280.0,230.0,250.0,380.0,240.0,26.0,16.0,68.0,38.0,11.2,900.0,0.0,2000.0
Pomelo,6.5,120.0,80.0,120.0,300.0,150.0,27.0,20.0,65.0,45.0,2.5,1000.0,0.0,200.0
Potato,5.7,310.0,260.0,250.0,470.0,275.0,20.5,10.5,88.0,58.0,9.0,1600.0,0.0,4000.0
Proso Millet,6.4,250.0,205.0,220.0,325.0,230.0,25.0,15.0,70.0,42.0,11.5,850.0,0.0,2500.0
Pudhina (Mint - another variety),6.1,100.0,80.0,120.0,300.0,150.0,24.0,18.0,65.0,45.0,2.5,800.0,0.0,2000.0
Pulasan,6.4,170.0,140.0,200.0,450.0,240.0,26.0,21.0,80.0,60.0,3.3,2300.0,0.0,500.0
Pumpkin,6.3,265.0,215.0,235.0,345.0,245.0,27.0,17.0,74.0,44.0,11.0,930.0,0.0,2000.0
Pumpkin (Cucurbita pepo - another variety),6.0,115.0,85.0,115.0,300.0,130.0,26.0,20.0,70.0,50.0,2.7,950.0,0.0,2000.0
Quinoa,6.0,260.0,200.0,220.0,300.0,210.0,25.0,15.0,68.0,38.0,11.2,820.0,2000.0,4000.0
Radish,6.0,50.0,80.0,100.0,250.0,80.0,15.0,10.0,50.0,30.0,1.0,400.0,0.0,1000.0
Ragi,6.3,110.0,90.0,130.0,300.0,130.0,26.0,20.0,71.0,51.0,2.7,800.0,0.0,2500.0
Rain Lily,6.1,130.0,110.0,150.0,420.0,220.0,26.0,20.0,82.0,62.0,3.2,2200.0,0.0,100.0
Rajma (Kidney Bean - another variety),6.4,120.0,100.0,140.0,320.0,160.0,24.0,18.0,70.0,50.0,2.8,1000.0,0.0,2000.0
Rambutan,6.1,310.0,260.0,280.0,420.0,290.0,31.0,21.0,82.0,50.0,9.8,1050.0,0.0,500.0
Rambutan (Nephelium lappaceum - adaptability considerations),6.2,155.0,125.0,175.0,380.0,200.0,28.0,23.0,82.0,62.0,3.3,2000.0,0.0,500.0
Ramdana,6.5,100.0,70.0,110.0,270.0,100.0,24.0,17.0,68.0,48.0,2.3,750.0,0.0,3000.0
Ramphal (Annona reticulata),6.2,140.0,110.0,160.0,350.0,170.0,28.0,23.0,75.0,55.0,3.0,1200.0,0.0,1000.0
Rapeseed,6.2,265.0,215.0,235.0,345.0,245.0,25.5,15.5,73.0,43.0,10.8,920.0,0.0,1000.0
Raspberry,5.9,255.0,205.0,225.0,365.0,245.0,20.0,10.0,83.0,53.0,8.8,1150.0,0.0,1500.0
Rice,5.8,300.0,250.0,200.0,500.0,260.0,30.0,20.0,85.0,55.0,8.5,2500.0,0.0,2000.0
Rice Bean,6.0,120.0,150.0,180.0,320.0,150.0,24.0,18.0,70.0,50.0,3.0,1000.0,0.0,2000.0
Rice Bean (Vigna umbellata - another variety),6.3,130.0,110.0,140.0,340.0,140.0,28.0,22.0,80.0,60.0,3.2,900.0,0.0,2000.0
Ricebean,6.2,140.0,120.0,150.0,420.0,180.0,30.0,24.0,84.0,64.0,3.7,1400.0,0.0,2000.0
Ridge Gourd,6.4,130.0,110.0,160.0,380.0,200.0,29.0,24.0,74.0,54.0,3.0,1150.0,0.0,500.0
Ridge Gourd (Luffa acutangula - another variety),6.0,125.0,95.0,135.0,360.0,175.0,29.0,23.0,73.0,53.0,2.9,1100.0,0.0,500.0
Rivea,6.1,110.0,90.0,120.0,310.0,120.0,27.0,21.0,76.0,56.0,2.7,800.0,0.0,1000.0
Rose,6.0,120.0,90.0,140.0,350.0,170.0,24.0,18.0,68.0,48.0,2.5,900.0,0.0,2000.0
Roselle,6.3,280.0,230.0,250.0,360.0,260.0,29.0,19.0,70.0,40.0,11.0,950.0,0.0,1000.0
Rosemary,6.1,255.0,205.0,225.0,335.0,235.0,24.5,14.5,70.0,40.0,11.0,850.0,0.0,1500.0
Rubber,5.5,200.0,150.0,180.0,380.0,210.0,28.0,22.0,80.0,60.0,4.0,2500.0,0.0,600.0
Rutabaga,6.7,110.0,80.0,110.0,280.0,110.0,21.0,15.0,67.0,47.0,2.1,730.0,0.0,1500.0
Rye,6.1,245.0,185.0,210.0,330.0,220.0,22.0,12.0,80.0,50.0,10.0,900.0,0.0,2500.0
Safflower,6.7,275.0,225.0,235.0,310.0,220.0,28.5,18.5,63.0,33.0,12.5,780.0,0.0,1500.0
Saffron,7.0,80.0,60.0,100.0,200.0,100.0,20.0,5.0,40.0,20.0,2.0,300.0,0.0,2000.0
Safou,6.5,170.0,140.0,200.0,440.0,180.0,27.0,21.0,76.0,56.0,3.1,2000.0,0.0,1300.0
Sage,6.2,75.0,55.0,95.0,260.0,95.0,23.0,16.0,67.0,47.0,2.1,720.0,0.0,1500.0
Salak,6.0,120.0,90.0,150.0,300.0,130.0,22.0,16.0,65.0,45.0,2.0,1500.0,0.0,1000.0
Samak Rice (Panicum miliaceum),6.0,100.0,80.0,120.0,250.0,100.0,28.0,22.0,70.0,50.0,3.0,800.0,0.0,1800.0
Sandalwood,6.0,70.0,50.0,80.0,250.0,100.0,28.0,23.0,65.0,45.0,2.8,1000.0,0.0,1500.0
Sapodilla (Manilkara zapota),6.4,140.0,110.0,160.0,350.0,180.0,29.0,23.0,70.0,50.0,3.0,1000.0,0.0,800.0
Sawa,6.0,115.0,95.0,135.0,285.0,135.0,30.5,24.5,77.0,57.0,3.3,850.0,0.0,1800.0
Sawa Millet,6.4,115.0,95.0,135.0,285.0,135.0,30.5,24.5,77.0,57.0,3.3,850.0,0.0,1800.0
Sesame,6.5,270.0,220.0,230.0,320.0,230.0,27.0,17.0,66.0,36.0,13.2,810.0,0.0,1000.0
Shallot,6.5,120.0,90.0,110.0,290.0,110.0,20.0,14.0,64.0,44.0,2.0,690.0,0.0,1000.0
Shama Millet,6.5,80.0,60.0,90.0,240.0,90.0,27.0,21.0,70.0,50.0,2.7,700.0,0.0,1800.0
Sisal,6.0,270.0,220.0,240.0,350.0,250.0,28.0,18.0,65.0,35.0,12.2,930.0,0.0,1500.0
Sitaphal (Annona squamosa),6.4,120.0,90.0,130.0,300.0,150.0,29.0,24.0,70.0,50.0,2.8,1000.0,0.0,1000.0
Snake Gourd,6.1,100.0,80.0,120.0,300.0,120.0,26.0,20.0,70.0,50.0,2.7,1000.0,0.0,500.0
Snake Gourd (Trichosanthes cucumerina - another variety),6.2,135.0,105.0,145.0,390.0,185.0,28.0,22.0,76.0,56.0,3.1,1250.0,0.0,500.0
Solanum macrocarpon (African Eggplant),6.5,170.0,140.0,180.0,460.0,200.0,27.0,22.0,80.0,60.0,3.0,1900.0,0.0,1500.0
Sorghum,6.5,245.0,185.0,210.0,330.0,220.0,30.0,20.0,62.0,32.0,14.0,750.0,0.0,2400.0
Sorghum (Sorghum bicolor - another variety),6.3,115.0,95.0,125.0,290.0,130.0,27.0,22.0,70.0,50.0,3.2,950.0,0.0,2400.0
Soursop,6.0,180.0,120.0,180.0,380.0,200.0,27.0,22.0,75.0,55.0,3.0,1500.0,0.0,1000.0
Soybean,6.2,270.0,210.0,225.0,360.0,245.0,27.5,17.5,65.0,35.0,9.8,1100.0,0.0,1500.0
Spaghetti Squash,6.3,120.0,100.0,150.0,350.0,180.0,27.0,22.0,72.0,52.0,2.9,1050.0,0.0,1500.0
Spelt,6.2,250.0,200.0,220.0,330.0,230.0,23.5,13.5,76.0,47.0,10.8,870.0,0.0,1500.0
Spider Lily,6.4,120.0,100.0,140.0,400.0,200.0,25.0,19.0,80.0,60.0,3.0,2000.0,0.0,1000.0
Spinach,6.0,150.0,180.0,200.0,300.0,120.0,18.0,12.0,65.0,45.0,2.5,700.0,0.0,2500.0
